# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sun Jul 31 13:05:25 2022
#
# User preference: *
#
# COLUMN pl_name:        Planet Name
# COLUMN sy_snum:        Number of Stars
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au])
# COLUMN pl_orbsmaxerr1: Orbit Semi-Major Axis Upper Unc. [au]
# COLUMN pl_orbsmaxerr2: Orbit Semi-Major Axis Lower Unc. [au]
# COLUMN pl_orbsmaxlim:  Orbit Semi-Major Axis Limit Flag
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_radeerr1:    Planet Radius Upper Unc. [Earth Radius]
# COLUMN pl_radeerr2:    Planet Radius Lower Unc. [Earth Radius]
# COLUMN pl_radelim:     Planet Radius Limit Flag
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass]
# COLUMN pl_bmasseerr1:  Planet Mass or Mass*sin(i) [Earth Mass] Upper Unc.
# COLUMN pl_bmasseerr2:  Planet Mass or Mass*sin(i) [Earth Mass] Lower Unc.
# COLUMN pl_bmasselim:   Planet Mass or Mass*sin(i) [Earth Mass] Limit Flag
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_orbeccenerr1: Eccentricity Upper Unc.
# COLUMN pl_orbeccenerr2: Eccentricity Lower Unc.
# COLUMN pl_orbeccenlim: Eccentricity Limit Flag
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_raderr1:     Stellar Radius Upper Unc. [Solar Radius]
# COLUMN st_raderr2:     Stellar Radius Lower Unc. [Solar Radius]
# COLUMN st_radlim:      Stellar Radius Limit Flag
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_masserr1:    Stellar Mass Upper Unc. [Solar mass]
# COLUMN st_masserr2:    Stellar Mass Lower Unc. [Solar mass]
# COLUMN st_masslim:     Stellar Mass Limit Flag
# COLUMN st_met:         Stellar Metallicity [dex]
# COLUMN st_meterr1:     Stellar Metallicity Upper Unc. [dex]
# COLUMN st_meterr2:     Stellar Metallicity Lower Unc. [dex]
# COLUMN st_metlim:      Stellar Metallicity Limit Flag
#
pl_name,sy_snum,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim
Kepler-168 c,1,0.116000,,,0,2.690,1.210,-1.210,0,7.70000,,,0,0.000000,,,0,1.11,0.50,-0.50,0,1.11,0.07,-0.09,0,0.090,0.144,-0.132,0
Kepler-1680 b,1,0.078400,,,0,1.360,,,0,2.42000,,,0,0.000000,,,0,0.72,,,0,0.83,,,0,0.200,0.200,-0.260,0
Kepler-1681 b,1,0.320000,,,0,2.553,,,0,7.05000,,,0,0.000000,,,0,0.76,0.29,-0.07,0,0.89,0.06,-0.04,0,0.106,0.065,-0.065,0
Kepler-1682 b,1,0.113400,,,0,2.889,,,0,8.70000,,,0,0.000000,,,0,0.84,,,0,0.99,,,0,-0.048,0.211,-0.211,0
Kepler-1683 b,1,0.118200,,,0,1.875,,,0,4.17000,,,0,0.000000,,,0,0.90,,,0,0.95,,,0,0.160,0.150,-0.150,0
Kepler-1684 b,1,0.225300,,,0,2.871,,,0,8.60000,,,0,0.000000,,,0,0.67,,,0,0.75,,,0,0.127,0.014,-0.014,0
Kepler-1685 b,1,0.148500,,,0,2.577,,,0,7.16000,,,0,0.000000,,,0,0.84,,,0,0.96,,,0,0.210,0.170,-0.270,0
Kepler-1686 b,1,0.086600,,,0,1.426,,,0,2.62000,,,0,0.000000,,,0,1.20,,,0,1.02,,,0,0.077,0.012,-0.012,0
Kepler-1687 b,1,0.053200,,,0,1.656,,,0,3.38000,,,0,0.000000,,,0,0.73,,,0,0.65,,,0,-0.140,0.150,-0.150,0
Kepler-1688 b,1,0.057700,,,0,1.262,,,0,2.13000,,,0,0.000000,,,0,0.75,0.05,-0.03,0,0.81,0.03,-0.05,0,-0.046,0.042,-0.042,0
Kepler-1689 b,1,0.079800,,,0,0.947,,,0,0.79900,,,0,0.000000,,,0,1.00,0.05,-0.04,0,1.02,0.08,-0.17,0,-0.146,0.009,-0.009,0
Kepler-169 b,1,0.040000,,,0,1.130,0.080,-0.080,0,1.51000,,,0,0.000000,,,0,0.76,0.05,-0.05,0,0.84,0.03,-0.03,0,0.050,0.104,-0.102,0
Kepler-169 c,1,0.062000,,,0,1.210,0.080,-0.080,0,1.92000,,,0,0.000000,,,0,0.76,0.05,-0.05,0,0.84,0.03,-0.03,0,0.050,0.104,-0.102,0
Kepler-169 d,1,0.075000,,,0,1.250,0.090,-0.090,0,2.10000,,,0,0.000000,,,0,0.76,0.05,-0.05,0,0.84,0.03,-0.03,0,0.050,0.104,-0.102,0
Kepler-169 e,1,0.105000,,,0,2.200,0.290,-0.290,0,5.48000,,,0,0.000000,,,0,0.76,0.05,-0.05,0,0.84,0.03,-0.03,0,0.050,0.104,-0.102,0
Kepler-169 f,1,0.359000,,,0,2.580,0.240,-0.240,0,7.18000,,,0,0.000000,,,0,0.76,0.05,-0.05,0,0.84,0.03,-0.03,0,0.050,0.104,-0.102,0
Kepler-1690 b,1,0.709700,,,0,2.811,,,0,8.30000,,,0,0.000000,,,0,0.86,,,0,0.94,,,0,0.000,0.150,-0.150,0
Kepler-1691 b,1,0.049500,,,0,1.835,,,0,4.02000,,,0,0.000000,,,0,1.13,,,0,1.11,,,0,0.160,0.150,-0.150,0
Kepler-1692 b,1,0.064600,,,0,1.112,,,0,1.42000,,,0,0.000000,,,0,0.87,,,0,0.87,,,0,0.360,0.100,-0.280,0
Kepler-1693 b,1,0.101100,,,0,1.289,,,0,2.21000,,,0,0.000000,,,0,0.88,,,0,0.95,,,0,0.026,0.043,-0.043,0
Kepler-1693 c,1,0.058800,,,0,0.977,,,0,0.89400,,,0,0.000000,,,0,1.10,0.16,-0.16,0,0.94,0.06,-0.05,0,0.160,0.150,-0.150,0
Kepler-1694 b,1,0.044900,,,0,1.180,,,0,1.76000,,,0,0.000000,,,0,0.76,,,0,0.82,,,0,0.140,0.150,-0.150,0
Kepler-1695 b,1,0.052900,,,0,1.119,,,0,1.46000,,,0,0.000000,,,0,0.99,,,0,0.96,,,0,-0.035,0.013,-0.013,0
Kepler-1696 b,1,0.324400,,,0,2.810,,,0,8.29000,,,0,0.000000,,,0,1.20,,,0,1.02,,,0,-0.040,0.200,-0.300,0
Kepler-1697 b,1,0.200800,,,0,1.260,,,0,2.12000,,,0,0.000000,,,0,0.77,0.06,-0.07,0,0.75,0.10,-0.09,0,0.034,0.032,-0.032,0
Kepler-1698 b,1,0.020300,,,0,1.073,,,0,1.25000,,,0,0.000000,,,0,0.74,0.05,-0.05,0,0.82,0.11,-0.08,0,0.080,0.057,-0.057,0
Kepler-1699 b,1,0.041800,,,0,1.567,,,0,3.08000,,,0,0.000000,,,0,0.73,0.12,-0.06,0,0.81,0.07,-0.09,0,0.225,0.029,-0.029,0
Kepler-17 b,1,0.025910,0.000370,-0.000360,0,14.680,0.220,-0.220,0,778.65000,34.96000,-34.96000,0,0.011000,,,1,1.01,,,0,1.04,,,0,0.260,0.100,-0.100,0
Kepler-170 b,1,0.080000,,,0,3.200,0.220,-0.220,0,82.60000,67.50000,-62.40000,0,0.000000,,,0,1.03,0.06,-0.06,0,1.09,0.02,-0.02,0,0.310,0.080,-0.079,0
Kepler-170 c,1,0.131000,,,0,2.860,0.170,-0.170,0,8.55000,,,0,0.000000,,,0,1.03,0.06,-0.06,0,1.09,0.02,-0.02,0,0.310,0.080,-0.079,0
Kepler-1700 b,1,0.757600,,,0,2.901,,,0,8.76000,,,0,0.000000,,,0,1.09,,,0,1.12,,,0,0.160,0.150,-0.150,0
Kepler-1701 b,1,0.560800,,,0,2.222,,,0,5.57000,,,0,0.000000,,,0,0.84,,,0,0.87,,,0,0.030,0.100,-0.100,0
Kepler-1702 b,1,0.127500,,,0,1.602,,,0,3.20000,,,0,0.000000,,,0,0.73,,,0,0.85,,,0,-0.240,0.300,-0.300,0
Kepler-1704 b,1,2.026000,0.024000,-0.031000,0,11.938,0.482,-0.460,0,1318.98789,92.17024,-92.17024,0,0.921000,0.010000,-0.015000,0,1.70,0.06,-0.06,0,1.13,0.04,-0.05,0,0.196,0.057,-0.057,0
Kepler-1705 b,1,0.080000,,,0,2.030,0.120,-0.140,0,4.47000,0.48000,-0.43000,0,0.033000,0.073000,-0.020000,0,1.26,0.03,-0.05,0,1.14,0.09,-0.08,0,-0.200,0.150,-0.150,0
Kepler-1705 c,1,,,,,2.050,0.140,-0.150,0,5.42000,0.61000,-0.57000,0,0.028000,0.064000,-0.018000,0,1.26,0.03,-0.05,0,1.14,0.09,-0.08,0,-0.200,0.150,-0.150,0
Kepler-1708 b,1,1.640000,0.100000,-0.100000,0,9.960,0.600,-0.590,0,1462.01067,,,1,0.400000,,,1,1.12,0.06,-0.06,0,1.09,0.07,-0.07,0,0.000,0.200,-0.200,0
Kepler-1709 b,1,0.319200,,,0,3.124,,,0,9.93000,,,0,0.000000,,,0,1.04,0.16,-0.09,0,1.00,0.07,-0.06,0,-0.040,0.150,-0.150,0
Kepler-171 b,1,0.050000,,,0,2.340,1.050,-1.050,0,6.08000,,,0,0.000000,,,0,0.84,0.38,-0.38,0,0.91,0.05,-0.05,0,0.110,0.100,-0.100,0
Kepler-171 c,1,0.098000,,,0,2.560,1.150,-1.150,0,7.08000,,,0,0.000000,,,0,0.84,0.38,-0.38,0,0.91,0.05,-0.05,0,0.110,0.100,-0.100,0
Kepler-171 d,1,0.223000,,,0,1.890,0.900,-0.900,0,4.23000,,,0,0.000000,,,0,0.84,0.38,-0.38,0,0.91,0.05,-0.05,0,0.110,0.100,-0.100,0
Kepler-1710 b,1,0.115900,,,0,3.197,,,0,10.30000,,,0,0.000000,,,0,0.90,0.11,-0.06,0,0.93,0.05,-0.07,0,-0.040,0.150,-0.150,0
Kepler-1711 b,1,0.146300,,,0,1.923,,,0,4.36000,,,0,0.000000,,,0,1.03,0.15,-0.12,0,0.94,0.07,-0.06,0,0.000,0.150,-0.150,0
Kepler-1712 b,1,0.090300,,,0,2.284,,,0,5.83000,,,0,0.000000,,,0,0.51,0.03,-0.05,0,0.52,0.04,-0.04,0,0.020,0.150,-0.150,0
Kepler-1713 b,1,0.146900,,,0,1.717,,,0,3.59000,,,0,0.000000,,,0,1.46,0.06,-0.09,0,1.30,0.06,-0.07,0,0.100,0.100,-0.150,0
Kepler-1714 b,1,0.104700,,,0,3.264,,,0,10.70000,,,0,0.000000,,,0,2.09,0.10,-0.15,0,1.45,0.06,-0.15,0,0.220,0.150,-0.150,0
Kepler-1715 b,1,0.217800,,,0,4.140,,,0,16.00000,,,0,0.000000,,,0,1.21,0.21,-0.14,0,1.08,0.10,-0.07,0,-0.040,0.150,-0.150,0
Kepler-1716 b,1,0.191600,,,0,2.425,,,0,6.46000,,,0,0.000000,,,0,0.68,0.04,-0.03,0,0.75,0.03,-0.06,0,-0.240,0.150,-0.150,0
Kepler-1717 b,1,0.201400,,,0,2.989,,,0,9.21000,,,0,0.000000,,,0,1.64,0.28,-0.34,0,1.16,0.14,-0.11,0,-0.060,0.150,-0.150,0
Kepler-1718 b,1,0.487800,,,0,2.569,,,0,7.12000,,,0,0.000000,,,0,0.91,0.12,-0.08,0,0.85,0.07,-0.05,0,-0.320,0.150,-0.150,0
Kepler-1719 b,1,0.067400,,,0,3.950,,,0,14.80000,,,0,0.000000,,,0,1.78,0.28,-0.46,0,1.08,0.12,-0.12,0,0.040,0.200,-0.150,0
Kepler-172 b,1,0.040000,,,0,2.350,0.420,-0.420,0,6.12000,,,0,0.000000,,,0,1.08,0.19,-0.19,0,1.00,0.04,-0.04,0,0.230,0.089,-0.101,0
Kepler-172 c,1,0.068000,,,0,2.860,0.530,-0.530,0,8.55000,,,0,0.000000,,,0,1.08,0.19,-0.19,0,1.00,0.04,-0.04,0,0.230,0.089,-0.101,0
Kepler-172 d,1,0.118000,,,0,2.250,0.400,-0.400,0,5.69000,,,0,0.000000,,,0,1.08,0.19,-0.19,0,1.00,0.04,-0.04,0,0.230,0.089,-0.101,0
Kepler-172 e,1,0.211000,,,0,2.760,0.560,-0.560,0,8.05000,,,0,0.000000,,,0,1.08,0.19,-0.19,0,1.00,0.04,-0.04,0,0.230,0.089,-0.101,0
Kepler-1720 b,1,0.104300,,,0,3.216,,,0,10.40000,,,0,0.000000,,,0,0.84,0.20,-0.07,0,0.94,0.08,-0.11,0,-0.040,0.300,-0.300,0
Kepler-1721 b,1,0.051900,,,0,3.119,,,0,9.90000,,,0,0.000000,,,0,0.80,0.14,-0.06,0,0.89,0.07,-0.10,0,-0.040,0.300,-0.300,0
Kepler-1722 b,1,0.081900,,,0,2.867,,,0,8.58000,,,0,0.000000,,,0,0.79,0.18,-0.07,0,0.88,0.08,-0.10,0,-0.200,0.300,-0.300,0
Kepler-1723 b,1,0.224900,,,0,2.880,,,0,8.65000,,,0,0.000000,,,0,1.01,0.31,-0.13,0,0.96,0.14,-0.10,0,-0.300,0.300,-0.300,0
Kepler-1724 b,1,0.068300,,,0,2.837,,,0,8.43000,,,0,0.000000,,,0,0.94,0.29,-0.10,0,1.02,0.12,-0.14,0,-0.220,0.300,-0.300,0
Kepler-1725 b,1,0.130200,,,0,2.813,,,0,8.31000,,,0,0.000000,,,0,1.08,0.18,-0.10,0,1.05,0.09,-0.07,0,0.000,0.150,-0.150,0
Kepler-1726 b,1,0.130600,,,0,2.509,,,0,6.84000,,,0,0.000000,,,0,0.80,0.08,-0.04,0,0.88,0.04,-0.06,0,0.000,0.150,-0.150,0
Kepler-1727 b,1,0.079600,,,0,3.173,,,0,10.20000,,,0,0.000000,,,0,0.82,0.14,-0.08,0,0.82,0.10,-0.08,0,-0.120,0.300,-0.300,0
Kepler-1728 b,1,0.053500,,,0,2.955,,,0,9.04000,,,0,0.000000,,,0,0.81,0.11,-0.06,0,0.89,0.05,-0.08,0,0.180,0.200,-0.300,0
Kepler-1729 b,1,0.041800,,,0,3.894,,,0,14.40000,,,0,0.000000,,,0,0.52,0.11,-0.11,0,0.54,0.11,-0.11,0,-0.060,0.150,-0.150,0
Kepler-173 b,1,0.048000,,,0,1.290,0.640,-0.640,0,2.21000,,,0,0.000000,,,0,0.95,0.47,-0.47,0,0.79,0.09,-0.05,0,0.036,0.014,-0.014,0
Kepler-173 c,1,0.074000,,,0,2.430,1.210,-1.210,0,6.48000,,,0,0.000000,,,0,0.95,0.47,-0.47,0,0.79,0.09,-0.05,0,0.036,0.014,-0.014,0
Kepler-1730 b,1,0.113100,,,0,4.485,,,0,18.40000,,,0,0.000000,,,0,1.14,0.33,-0.22,0,1.01,0.15,-0.12,0,-0.040,0.250,-0.300,0
Kepler-1731 b,1,0.140100,,,0,2.933,,,0,8.92000,,,0,0.000000,,,0,0.72,0.05,-0.03,0,0.78,0.03,-0.05,0,0.000,0.150,-0.150,0
Kepler-1732 b,1,0.201500,,,0,4.099,,,0,15.70000,,,0,0.000000,,,0,1.49,0.24,-0.33,0,1.04,0.11,-0.08,0,0.040,0.150,-0.150,0
Kepler-1733 b,1,0.093300,,,0,3.636,,,0,12.80000,,,0,0.000000,,,0,1.25,0.21,-0.09,0,1.27,0.08,-0.09,0,0.240,0.150,-0.200,0
Kepler-1734 b,1,0.071400,,,0,3.089,,,0,9.74000,,,0,0.000000,,,0,0.97,0.30,-0.10,0,1.05,0.14,-0.14,0,-0.100,0.250,-0.300,0
Kepler-1735 b,1,0.062100,,,0,1.194,,,0,1.84000,,,0,0.000000,,,0,0.51,0.04,-0.04,0,0.54,0.03,-0.04,0,-0.340,0.150,-0.150,0
Kepler-1736 b,1,0.218800,,,0,3.877,,,0,14.30000,,,0,0.000000,,,0,0.97,0.30,-0.12,0,0.98,0.13,-0.12,0,-0.280,0.300,-0.300,0
Kepler-1737 b,1,0.297000,,,0,5.395,,,0,25.10000,,,0,0.000000,,,0,0.88,0.09,-0.10,0,0.83,0.07,-0.06,0,0.300,0.150,-0.300,0
Kepler-1738 b,1,0.078100,,,0,2.825,,,0,8.37000,,,0,0.000000,,,0,1.00,0.32,-0.11,0,1.08,0.15,-0.15,0,-0.020,0.250,-0.300,0
Kepler-1739 b,1,0.069700,,,0,2.431,,,0,6.48000,,,0,0.000000,,,0,0.76,0.17,-0.06,0,0.86,0.09,-0.10,0,-0.500,0.350,-0.250,0
Kepler-174 b,1,0.100000,,,0,1.960,0.110,-0.110,0,4.50000,,,0,0.000000,,,0,0.62,0.03,-0.03,0,0.60,0.02,-0.02,0,-0.440,0.100,-0.100,0
Kepler-174 c,1,0.214000,,,0,1.490,0.090,-0.090,0,2.83000,,,0,0.000000,,,0,0.62,0.03,-0.03,0,0.60,0.02,-0.02,0,-0.440,0.100,-0.100,0
Kepler-174 d,1,0.677000,,,0,2.190,0.130,-0.130,0,5.43000,,,0,0.000000,,,0,0.62,0.03,-0.03,0,0.60,0.02,-0.02,0,-0.440,0.100,-0.100,0
Kepler-1740 b,1,0.077900,,,0,3.323,,,0,11.00000,,,0,0.000000,,,0,0.91,0.12,-0.05,0,0.94,0.05,-0.06,0,-0.060,0.150,-0.150,0
Kepler-1741 b,1,0.029600,,,0,1.273,,,0,2.16000,,,0,0.000000,,,0,0.42,0.05,-0.06,0,0.45,0.04,-0.06,0,-0.220,0.150,-0.150,0
Kepler-1742 b,1,0.258700,,,0,2.178,,,0,5.38000,,,0,0.000000,,,0,0.85,0.24,-0.08,0,0.94,0.10,-0.12,0,-0.180,0.300,-0.300,0
Kepler-1743 b,1,0.082200,,,0,1.599,,,0,3.18000,,,0,0.000000,,,0,1.61,0.26,-0.35,0,1.27,0.10,-0.15,0,0.400,0.050,-0.150,0
Kepler-1744 b,1,0.209300,,,0,3.768,,,0,13.60000,,,0,0.000000,,,0,0.85,0.23,-0.09,0,0.89,0.10,-0.10,0,-0.500,0.300,-0.300,0
Kepler-1745 b,1,0.040800,,,0,1.929,,,0,4.38000,,,0,0.000000,,,0,1.40,0.23,-0.28,0,0.99,0.07,-0.07,0,0.160,0.150,-0.150,0
Kepler-1746 b,1,0.945300,,,0,8.935,,,0,59.10000,,,0,0.000000,,,0,1.29,0.21,-0.21,0,1.09,0.10,-0.08,0,0.060,0.150,-0.150,0
Kepler-1747 b,1,0.066000,,,0,4.265,,,0,16.80000,,,0,0.000000,,,0,0.86,0.17,-0.07,0,0.98,0.07,-0.12,0,0.210,0.200,-0.300,0
Kepler-1748 b,1,0.061500,,,0,2.713,,,0,7.81000,,,0,0.000000,,,0,0.86,0.25,-0.08,0,0.92,0.11,-0.10,0,-0.220,0.300,-0.300,0
Kepler-1749 b,1,0.095600,,,0,1.613,,,0,3.23000,,,0,0.000000,,,0,0.55,0.03,-0.04,0,0.55,0.04,-0.04,0,-0.160,0.150,-0.150,0
Kepler-175 b,1,0.105000,,,0,2.560,1.280,-1.280,0,7.08000,,,0,0.000000,,,0,1.01,0.50,-0.50,0,1.12,0.10,-0.07,0,0.100,0.138,-0.144,0
Kepler-175 c,1,0.213000,,,0,3.100,1.560,-1.560,0,9.80000,,,0,0.000000,,,0,1.01,0.50,-0.50,0,1.12,0.10,-0.07,0,0.100,0.138,-0.144,0
Kepler-1750 b,1,0.678500,,,0,6.004,,,0,30.10000,,,0,0.000000,,,0,0.97,0.14,-0.07,0,0.98,0.06,-0.06,0,0.140,0.150,-0.150,0
Kepler-1751 b,1,0.071200,,,0,1.824,,,0,3.98000,,,0,0.000000,,,0,0.97,0.30,-0.12,0,0.97,0.13,-0.12,0,-0.260,0.300,-0.300,0
Kepler-1752 b,1,0.269800,,,0,4.541,,,0,18.70000,,,0,0.000000,,,0,0.82,0.16,-0.09,0,0.82,0.10,-0.08,0,-0.200,0.300,-0.300,0
Kepler-1753 b,1,0.117900,,,0,2.227,,,0,5.59000,,,0,0.000000,,,0,0.77,0.11,-0.06,0,0.86,0.06,-0.09,0,0.000,0.250,-0.300,0
Kepler-1754 b,1,0.071800,,,0,2.440,,,0,6.53000,,,0,0.000000,,,0,0.75,0.05,-0.07,0,0.73,0.07,-0.06,0,0.080,0.250,-0.300,0
Kepler-1755 b,1,0.166800,,,0,5.917,,,0,29.40000,,,0,0.000000,,,0,0.92,0.29,-0.10,0,1.00,0.13,-0.13,0,-0.260,0.300,-0.300,0
Kepler-1756 b,1,0.031900,,,0,1.472,,,0,2.77000,,,0,0.000000,,,0,0.81,0.03,-0.06,0,0.78,0.05,-0.03,0,0.160,0.150,-0.150,0
Kepler-1757 b,1,0.133500,,,0,2.947,,,0,8.99000,,,0,0.000000,,,0,0.74,0.11,-0.06,0,0.83,0.07,-0.10,0,-0.240,0.300,-0.300,0
Kepler-1758 b,1,0.091900,,,0,2.571,,,0,7.13000,,,0,0.000000,,,0,1.62,0.25,-0.41,0,1.04,0.09,-0.09,0,0.160,0.150,-0.100,0
Kepler-1759 b,1,0.042900,,,0,0.904,,,0,0.67600,,,0,0.000000,,,0,0.80,0.08,-0.09,0,0.76,0.10,-0.06,0,-0.020,0.300,-0.300,0
Kepler-176 b,1,0.058000,,,0,1.430,0.730,-0.730,0,2.63000,,,0,0.000000,,,0,0.89,0.46,-0.46,0,0.79,0.06,-0.03,0,0.160,0.150,-0.150,0
Kepler-176 c,1,0.102000,,,0,2.600,1.330,-1.330,0,23.00000,13.50000,-8.00000,0,0.000000,,,0,0.89,0.46,-0.46,0,0.79,0.06,-0.03,0,0.160,0.150,-0.150,0
Kepler-176 d,1,0.163000,,,0,2.510,1.320,-1.320,0,15.20000,10.40000,-5.80000,0,0.000000,,,0,0.89,0.46,-0.46,0,0.79,0.06,-0.03,0,0.160,0.150,-0.150,0
Kepler-176 e,1,0.249400,,,0,1.450,0.120,-0.150,0,2.70000,,,0,0.000000,,,0,0.83,0.07,-0.05,0,0.87,0.04,-0.05,0,0.030,0.149,-0.171,0
Kepler-1760 b,1,0.208400,,,0,2.290,,,0,5.86000,,,0,0.000000,,,0,0.90,0.06,-0.09,0,0.82,0.06,-0.03,0,0.080,0.150,-0.150,0
Kepler-1761 b,1,0.041300,,,0,1.391,,,0,2.51000,,,0,0.000000,,,0,0.53,0.04,-0.03,0,0.57,0.03,-0.04,0,0.070,0.150,-0.150,0
Kepler-1762 b,1,0.204000,,,0,2.760,,,0,8.05000,,,0,0.000000,,,0,1.24,0.39,-0.14,0,1.30,0.16,-0.20,0,0.070,0.200,-0.350,0
Kepler-1763 b,1,0.025700,,,0,1.147,,,0,1.59000,,,0,0.000000,,,0,1.26,0.20,-0.22,0,1.03,0.09,-0.07,0,0.020,0.150,-0.150,0
Kepler-1764 b,1,0.351200,,,0,4.555,,,0,18.80000,,,0,0.000000,,,0,1.13,0.36,-0.12,0,1.16,0.16,-0.16,0,-0.140,0.250,-0.300,0
Kepler-1765 b,1,0.091700,,,0,2.495,,,0,6.78000,,,0,0.000000,,,0,1.06,0.31,-0.19,0,0.95,0.12,-0.09,0,0.040,0.250,-0.300,0
Kepler-1766 b,1,0.422900,,,0,2.279,,,0,5.81000,,,0,0.000000,,,0,1.04,0.14,-0.13,0,0.92,0.07,-0.06,0,-0.220,0.150,-0.150,0
Kepler-1767 b,1,0.287300,,,0,3.013,,,0,9.34000,,,0,0.000000,,,0,0.83,0.07,-0.04,0,0.89,0.04,-0.05,0,0.140,0.150,-0.150,0
Kepler-1768 b,1,0.128600,,,0,2.233,,,0,5.62000,,,0,0.000000,,,0,1.57,0.46,-0.46,0,1.24,0.17,-0.23,0,0.140,0.200,-0.300,0
Kepler-1769 b,1,0.398700,,,0,4.465,,,0,18.20000,,,0,0.000000,,,0,1.30,0.23,-0.21,0,1.06,0.11,-0.07,0,-0.060,0.150,-0.150,0
Kepler-177 b,1,0.218400,,,0,3.500,0.190,-0.150,0,5.84000,0.86000,-0.82000,0,0.000000,,,0,1.32,0.05,-0.05,0,0.92,0.03,-0.02,0,-0.110,0.040,-0.040,0
Kepler-177 c,1,0.265500,,,0,8.730,0.360,-0.340,0,14.70000,2.70000,-2.50000,0,0.000000,,,0,1.32,0.05,-0.05,0,0.92,0.03,-0.02,0,-0.110,0.040,-0.040,0
Kepler-1770 b,1,0.126100,,,0,2.841,,,0,8.45000,,,0,0.000000,,,0,1.01,0.27,-0.15,0,0.94,0.10,-0.09,0,0.100,0.250,-0.300,0
Kepler-1771 b,1,0.381500,,,0,4.055,,,0,15.50000,,,0,0.000000,,,0,0.93,0.12,-0.07,0,0.94,0.06,-0.06,0,0.000,0.150,-0.150,0
Kepler-1772 b,1,0.041800,,,0,2.686,,,0,7.68000,,,0,0.000000,,,0,0.93,0.12,-0.07,0,0.94,0.05,-0.06,0,0.120,0.150,-0.150,0
Kepler-1773 b,1,0.248900,,,0,3.505,,,0,12.10000,,,0,0.000000,,,0,1.30,0.22,-0.13,0,1.24,0.09,-0.09,0,0.260,0.150,-0.150,0
Kepler-1774 b,1,0.309600,,,0,3.182,,,0,10.20000,,,0,0.000000,,,0,1.12,0.38,-0.15,0,1.10,0.17,-0.13,0,-0.020,0.250,-0.300,0
Kepler-1775 b,1,0.398600,,,0,3.648,,,0,12.90000,,,0,0.000000,,,0,1.65,0.25,-0.38,0,1.15,0.13,-0.11,0,0.240,0.150,-0.100,0
Kepler-1776 b,1,0.212400,,,0,2.612,,,0,7.33000,,,0,0.000000,,,0,1.15,0.18,-0.14,0,1.04,0.08,-0.06,0,0.100,0.150,-0.150,0
Kepler-1777 b,1,0.103100,,,0,2.132,,,0,5.19000,,,0,0.000000,,,0,1.07,0.16,-0.12,0,0.98,0.07,-0.07,0,0.060,0.150,-0.150,0
Kepler-1778 b,1,0.095600,,,0,3.017,,,0,9.36000,,,0,0.000000,,,0,1.09,0.31,-0.13,0,1.14,0.16,-0.16,0,-0.060,0.250,-0.300,0
Kepler-1779 b,1,0.126400,,,0,3.033,,,0,9.44000,,,0,0.000000,,,0,1.06,0.16,-0.09,0,1.01,0.06,-0.06,0,0.160,0.150,-0.150,0
Kepler-178 b,1,0.085000,,,0,2.900,1.250,-1.250,0,8.75000,,,0,0.000000,,,0,1.07,0.45,-0.45,0,0.94,0.04,-0.04,0,0.180,0.150,-0.100,0
Kepler-178 c,1,0.142000,,,0,2.880,1.230,-1.230,0,8.65000,,,0,0.000000,,,0,1.07,0.45,-0.45,0,0.94,0.04,-0.04,0,0.180,0.150,-0.100,0
Kepler-178 d,1,0.397000,,,0,3.950,1.700,-1.700,0,14.80000,,,0,0.000000,,,0,1.07,0.45,-0.45,0,0.94,0.04,-0.04,0,0.180,0.150,-0.100,0
Kepler-1780 b,1,0.427600,,,0,3.606,,,0,12.70000,,,0,0.000000,,,0,0.87,0.08,-0.06,0,0.87,0.05,-0.05,0,0.000,0.150,-0.150,0
Kepler-1781 b,1,0.057400,,,0,2.381,,,0,6.26000,,,0,0.000000,,,0,0.96,0.24,-0.08,0,1.05,0.08,-0.12,0,0.440,0.050,-0.300,0
Kepler-1782 b,1,0.058200,,,0,2.229,,,0,5.60000,,,0,0.000000,,,0,0.73,0.05,-0.03,0,0.79,0.04,-0.05,0,0.000,0.150,-0.150,0
Kepler-1783 b,1,0.077000,,,0,1.319,,,0,2.30000,,,0,0.000000,,,0,1.78,0.91,-1.11,0,0.89,0.12,-0.16,0,-0.160,0.300,-0.300,0
Kepler-1784 b,1,0.107200,,,0,2.799,,,0,8.24000,,,0,0.000000,,,0,0.97,0.25,-0.13,0,0.89,0.10,-0.07,0,0.100,0.250,-0.300,0
